menu1
menu2
menu-more
home
search
notification
mail
mail-read
mail-new
mail-sent
mail-replyall
mail-reply
mail-forward
message
settings
cog-double
execute
logout
alert
accept
cancel
reverse
refresh
undo
redo
arrow-back
arrow-forward
chevron-left
chevron-right
chevron-up
chevron-down
switch
edit
save
trash
send
show
hide
drag
sort
select-all
select-none
user
user-add
user-change
users
contact
goals
locate
tools
upload
download
print
filter
summary
list
social
graph
calendar
personalise
picture
picture-add
language
account-manage
account-add
account-foreign
account-current
account-savings
mortgage
loan
sweeps
balance
transfer
direct-debit
payment-bulk
payment
payments
payment-repeat
creditcard
transactions
payment-future
card-add
cheque
cheque-view
cheque-request
car
pin-code
mandates
directions
map1
map2
pin-atm
pin-bank
wealth
legal
roles
tour
link
return
star-filled
star-empty
chart-bar1
chart-bar2
chart-graph
chart-bubble1
chart-bubble2
chart-tiles
term-deposit
lock
unlock
transfer-in
transfer-out
file
details
pdf
excel
letter-credit
reject
new
validate
user-management
bill
phone
arrow-left
arrow-up
arrow-upright
arrow-right
arrow-downright
arrow-down
gift
records
authorise
review
warning
deposit
withdraw
preview
folder
package
flag
mandatory1
mandatory2
office
fire
bank
rel-decrease
rel-constant
rel-increase
unlink
cut
copy
steady
meeting
complaint
hold
news
audio
pinned
unpinned
play
stop
pause
restore
timer
frequency
late
clock
circle-unfilled
circle-dashed
chart-pie
circle-remove
circle-add
information
help
important
circle-filled
circle-left
circle-right
circle-up
circle-down
select
open
spellcheck
chart-research
collapse
expand
target
fast-forward
camera
dropdown
ux
placeholder1
placeholder2
1
2
severity-compliant
severity-noncompliant
severity-undefined
cedd
social-facebook
social-instagram
social-linkedin
social-google
social-rss
social-mail
social-twitter
social-youtube
social-skype
block
portfolio
phase-pre
phase
phase-post
placeholder3
circle-timed
circle-locked
collapse-row
expand-row
